clusterID;selfID;representativenessValue;actualTime
17;429;0.00110852;241.48
18;264;0.0323664;241.48
1;534;0.559336;256.48
2;219;0.314052;256.48
3;791;0.398762;256.48
4;275;1;256.48
5;103;0.0279251;256.48
6;70;0.213892;256.48
7;138;0.494662;256.48
8;717;0.16523;256.48
9;371;0.544259;256.48
10;143;0.00442337;256.48
11;362;0.00101156;256.48
12;162;0.145394;256.48
13;429;0.00110882;256.48
14;264;0.0323662;256.48
1;385;0.806696;271.48
2;155;0.162816;271.48
3;534;0.559335;271.48
4;791;0.398761;271.48
5;175;0.472552;271.48
6;668;0.0528296;271.48
7;686;0.130069;271.48
8;618;0.127279;271.48
9;275;1;271.48
10;451;0.941369;271.48
11;103;0.027925;271.48
12;70;0.213893;271.48
13;759;0.0142863;271.48
14;724;0.0883043;271.48
15;717;0.16523;271.48
16;138;0.494661;271.48
17;371;0.54426;271.48
18;356;0.116383;271.48
19;429;0.00110882;271.48
20;264;0.0323662;271.48
1;534;0.559336;286.48
2;791;0.398761;286.48
3;686;0.130069;286.48
4;618;0.127279;286.48
5;275;1;286.48
6;626;0.890476;286.48
7;175;0.472552;286.48
8;385;0.806696;286.48
9;138;0.494661;286.48
10;143;0.0044257;286.48
11;371;0.544261;286.48
12;717;0.16523;286.48
13;504;0.122174;286.48
14;264;0.0323662;286.48
1;155;0.162821;301.48
2;275;1;301.48
3;686;0.130068;301.48
4;276;0.147953;301.48
5;626;0.890471;301.48
6;70;0.213894;301.48
7;175;0.47255;301.48
8;542;0.0230192;301.48
9;162;0.145394;301.48
10;504;0.122173;301.48
11;138;0.494658;301.48
12;426;0.0301768;301.48
13;104;0.00276286;301.48
14;114;0.0947172;301.48
15;371;0.544258;301.48
16;451;0.941364;301.48
1;155;0.16282;316.48
2;275;1;316.48
3;678;0.0618475;316.48
4;276;0.147952;316.48
5;175;0.472546;316.48
6;299;0.50172;316.48
7;180;0.426765;316.48
8;704;0.0307799;316.48
9;138;0.494656;316.48
10;362;0.00102649;316.48
11;371;0.544254;316.48
12;446;0.0118868;316.48
13;451;0.941357;316.48
14;178;0.283447;316.48
1;275;1;331.48
2;222;0.396892;331.48
3;175;0.47253;331.48
4;336;0.272157;331.48
5;138;0.49464;331.48
6;349;0.000463499;331.48
7;414;0.000177799;331.48
8;293;0.000360784;331.48
1;275;1;346.48
2;776;0.00446658;346.48
3;175;0.472529;346.48
4;138;0.494639;346.48
5;371;0.544234;346.48
1;275;1;361.48
2;618;0.127276;361.48
3;175;0.472526;361.48
4;276;0.147946;361.48
5;138;0.494637;361.48
6;264;0.0323645;361.48
7;371;0.544231;361.48
8;140;0.156178;361.48
1;275;1;376.48
2;796;0.0218715;376.48
3;304;0.00370398;376.48
4;703;0.217583;376.48
5;371;0.544231;376.48
6;419;0.0418089;376.48
7;138;0.494636;376.48
1;700;0.329071;391.48
2;275;1;391.48
3;175;0.472558;391.48
4;644;0.491282;391.48
5;70;0.213884;391.48
6;138;0.494635;391.48
1;275;1;406.48
2;570;0.448699;406.48
3;175;0.472557;406.48
4;70;0.213883;406.48
1;275;1;421.48
2;686;0.130184;421.48
3;138;0.494633;421.48
1;571;0.84907;436.48
2;403;0.193931;436.48
3;677;0.310267;436.48
1;80;0.137815;451.48
2;403;0.193931;451.48
3;571;0.84907;451.48
